Destino,web_scraper_order,Fuente,Fecha de Publicación,Título del Comentario,Fecha de Viaje,Tipo de Viaje,Comentario,País,Residente/Extranjero,Comunidad o Ciudad Autónoma
Real Alcázar de Sevilla,1776038230-5,Civitatis,11/6/2025,No especificado,No especificado,Viajó con amigos,Fue muy entretenido y lo explicó muy bien Anafer,España,Residente,Aragón
Tour misterios y leyendas de Sevilla,1776039657-5,Civitatis,18/11/2025,No especificado,No especificado,No especificado,"Entretenida, dinámica e interesante",España,Residente,Principado de Asturias
Paseo privado en calesa,1775816188-6,Civitatis,17/04/2025,No especificado,No especificado,Viajó en pareja,"Como es Semana Santa ,las calles algunas a ciertas horas estaban cortadas ,pero nos adaptaron horarios y todo perfecto ,Juli el cochero, nos iba explicando los monumentos que íbamos viendo ,contándonos la historia de cada sitio ,muy amable en todo momento con nosotros y una experiencia recomendable al cien por cien ,un paseo por Sevilla que no olvidaras ,Muchas gracias repetiremos sin duda",España,Residente,Castilla-La Mancha
Barrio Santa Cruz,1776039188-8,Civitatis,16/02/2025,No especificado,No especificado,Viajó en pareja,Marina fue una guía top! Nos contó muchas historias interesantes.,España,Residente,Comunidad de Madrid
Barrio Triana,1776038693-8,Civitatis,26/03/2026,No especificado,No especificado,Viajó en pareja,Un Tour para saber muchas más cosas fuera de lo común en Sevilla. Además nuestro guía fue Majísimo y nos contó muchas cosas!!,España,Residente,Comunidad de Madrid
Tour misterios y leyendas de Sevilla,1776039705-17,Civitatis,7/6/2025,No especificado,No especificado,Viajó en pareja,"Daniel fue un guia fantastico, combinando historia y leyendas con un humor genial q le daba el punto fresco nevesario para sobrellevar las altas temperaturas. Muy recomendable!!!",España,Residente,No especificado
Free tour por Sevilla,1775829065-18,Civitatis,12/1/2026,No especificado,No especificado,Viajó solo,Estuvo muy entretenido. Sobre todo el guía que lo hizo todo muy divertido y agradable.,España,Residente,No especificado
Barrio Santa Cruz,1776039254-8,Civitatis,3/1/2025,No especificado,No especificado,Viajó en pareja,Laura fue una guía excepcional. Buenas y claras explicaciones y excelentemente guiando al grupo,España,Residente,No especificado
Paseo por el río Guadalquivir en barco con guía,1775815618-10,Civitatis,9/10/2025,No especificado,No especificado,Viajó con amigos,"Pedí un viaje en Español, me advirtieron que también podría ser bilingüe en inglés, pero el guia hablo en inglés en primer lugar lo que me parece increíble estando en España, y además las explicaciones en inglés fueron más largas y detalladas",España,Residente,No especificado
Catedral de Sevilla,1775817924-11,Civitatis,6/4/2026,No especificado,No especificado,Viajó en pareja,"Lo ideal es emitir directamente una entrada, y no un cupón para recoger en la oficina de turismo.",No especificado,No especificado,No aplica
Barrio Triana,1776038810-6,Civitatis,10/2/2025,No especificado,No especificado,Viajó en pareja,"Maravillosa visita guiada por el emblemático barrio de Triana de la mano de Marta, historiadora sevillana entusiasta y apasionada de la historia de la ciudad y absolutamente generosa compartiendo con nosotros gran parte de su conocimiento. Gracias, Marta!!",No especificado,No especificado,No aplica
Tour misterios y leyendas de Sevilla,1776039711-11,Civitatis,10/4/2025,No especificado,No especificado,Viajó con amigos,Daniel el guía atento y simpático,España,Residente,País Vasco
Barrio Triana,1776038701-12,Civitatis,21/03/2026,No especificado,No especificado,Viajó con hijos mayores,"El free tour estuvo muy bien. La guía fue muy amena, nos explicó todo muy bien. Fue muy amable y simpática. Le doy un 10",España,Residente,Galicia
Tour en tuk tuk por Sevilla,1775827066-20,Civitatis,19/01/2026,No especificado,No especificado,Viajó con hijos mayores,"Tour de una hora aprovechada al máximo. Nuestro guía , Juan, nos mostró Sevilla ilustrandonos de manera completa y agradable 
Fue impecable",Argentina,Extranjero,No aplica
Paseo por el río Guadalquivir en barco con comida,1775815503-8,Civitatis,31/03/2025,No especificado,No especificado,Viajó con amigos,"Un paseo por el Guadalquivir muy agradable, la cena muy buena y el personal muy atento, por lo tanto muy aconsejable.",España,Residente,Comunidad Valenciana
Barrio Santa Cruz,1776039155-9,Civitatis,30/03/2025,No especificado,No especificado,Viajó con amigos,"Nos ha encanto el free tour, Antonio nos ha explicado todo el barrio de una forma muy divertida y instructiva. Muy recomendable. Gracias",España,Residente,Comunidad Valenciana
Free tour por Sevilla,1775829128-3,Civitatis,22/10/2025,No especificado,No especificado,Viajó en pareja,"Daniel nuestro guía, fue maravilloso nos explicó todo a la perfección. En todo momento pendiente del grupo. Nos dio mucha información de todo lo que vimos y nos do muchas recomendaciones de donde poder tapear por Sevilla. Es 100 por 100 recomendable. 
Y para Daniel un 10 ,hizo el tour muy ameno y divertido.",No especificado,No especificado,No aplica
Archivo de Indias,1776038555-12,Civitatis,2/3/2025,No especificado,No especificado,No especificado,"Juan ha sido un guía magnífico.Un amplio conocimiento sobre la materia, excelentemente narrado.La visita se hace corta y se aprende mucho con él.Muy recomendable!!",España,Residente,No especificado
Espectáculo de flamenco Sala Almoraima,1775816836-8,Civitatis,13/03/2025,No especificado,No especificado,Viajó con amigos,"El espectáculo fue maravilloso, muy familiar, unos profesionales, desde la entrada al local hasta la finalización del evento. Recomendable 100%",España,Residente,Comunidad Foral de Navarra
Barrio Triana,1776038794-8,Civitatis,19/06/2025,No especificado,No especificado,Viajó con hijos mayores,"Durante todos los años que hemos usado este servicio, jamás hemos visto que, al finalizar el recorrido, nos vuelvan a pedir el nombre y apellido para apuntar a un lado la cantidad de dinero. Todos sabemos que es un servicio en el que hay un mínimo y nos ha parecido muy fuera de lugar exponer delante del resto esos datos.",No especificado,No especificado,No aplica
Barrio Triana,1776038724-19,Civitatis,20/02/2026,No especificado,No especificado,Viajó en pareja,"Marta es una guia brillante. Muy bien preparada. Hemos disfrutado de aprender con ella.

Moltes gràcies Marta!!",España,Residente,Islas Baleares
Archivo de Indias,1776038432-16,Civitatis,13/12/2025,No especificado,No especificado,Viajó con hijos mayores,Rubén es un narrador magnífico. Acerca la historia a sus interlocutores con rigor pero con mucha didáctica. Sabe ejercer muy bien su oficio. Y las casi dos horas de visita guiada se hacen muy cortas. Una se queda con ganas de permanecer escuchando sus anécdotas.,España,Residente,Andalucía
Free tour por Sevilla,1775828984-19,Civitatis,1/2/2026,No especificado,No especificado,Viajó con hijos mayores,El guía Juan Diego un 10,España,Residente,Comunidad de Madrid
Tour misterios y leyendas de Sevilla,1776039907-18,Civitatis,26/03/2025,No especificado,No especificado,Viajó en pareja,El guia excelente,España,Residente,Islas Baleares
Barrio Santa Cruz,1776039103-1,Civitatis,7/6/2025,No especificado,No especificado,Viajó con amigos,"Una visita super interesante. Laura, nuestra guía nos encantó.",España,Residente,Islas Baleares
Free tour por Sevilla,1775829157-20,Civitatis,26/12/2025,No especificado,No especificado,Viajó con amigos,"El free tour interesante, pero debería haber acabado en la Plaza de España y la guía dijo que estaba cerrada por el tiempo y que íbamos a acabar el tour en otro sitio. Por curiosidad me acerqué con mi amiga a la Plaza de España y estaba abierta... ya no sé si no le dieron bien la información a la guía o que pasó, pero nos habría gustado acabar allí el tour..",No especificado,No especificado,No aplica
Espectáculo de flamenco Museo del Baile Flamenco,1775816951-8,Civitatis,4/12/2025,No especificado,No especificado,No especificado,Impactante ver y escuchar a los artistas tan cerca.,España,Residente,No especificado
Barrio Santa Cruz,1776039045-17,Civitatis,31/10/2025,No especificado,No especificado,Viajó con hijos mayores,"Muy amena la actividad, nuestro guía Manuel muy agradable y con muy buenas explicaciones acerca de las curiosidades del Barrio de Santa Cruz.",España,Residente,No especificado
Barrio Santa Cruz,1776039071-13,Civitatis,14/09/2025,No especificado,No especificado,Viajó con amigos,"Me sorprendió que Gigi siendo francesa, conozca tan bien la historia y cultura de Sevilla.",España,Residente,Comunidad de Madrid
Setas de Sevilla,1775818418-1,Civitatis,26/03/2025,No especificado,No especificado,Viajó en pareja,"Muy caro para lo que es la actividad, quiero poner mal y no me deja....",España,Residente,No especificado
Tour paranormal por Sevilla,1775824647-6,Civitatis,14/03/2025,No especificado,No especificado,Viajó con amigos,Súper recomendable! Repetiremos,España,Residente,Islas Canarias
Espectáculo de flamenco Museo del Baile Flamenco,1775816964-5,Civitatis,21/06/2025,No especificado,No especificado,Viajó con amigos,El mejor flamenco que he visto!! Las bailadoras espectaculares con las castañuelas y el manejo de la mantilla! Muy muy recomendable!!,España,Residente,Comunidad de Madrid
Archivo de Indias,1776038516-1,Civitatis,14/08/2025,No especificado,No especificado,Viajó con hijos mayores,Muy bien! Gracias,España,Residente,Aragón
Tour misterios y leyendas de Sevilla,1776039650-15,Civitatis,28/11/2025,No especificado,No especificado,Viajó en pareja,Una actividad muy entretenida y amena por Daniel. .,España,Residente,Región de Murcia
Espectáculo de flamenco Museo del Baile Flamenco,1775816970-14,Civitatis,2/1/2025,No especificado,No especificado,Viajó solo,"Espectáculo de nivel, grandes profesionales que muestran la esencia de este arte (no esperar fiesta de patio andaluz)

Museo mejorable, contenido escaso. Aún con el mismo contenido, exige mayor dedicación.",España,Residente,Aragón
Barrio Triana,1776038794-17,Civitatis,2/3/2026,No especificado,No especificado,Viajó solo,"Hice el tour con Marta. Ella vive su ciudad en todas sus facetas y te lo transmite tanto en información como en emociones a lo largo de todo el recorrido, que no fue facil. Bajo un sol aplastante y un calor imposible de aliviar ni en la sombra, ella estoicamente y disfrutando de lo que hace nos sumergió durante dos horas en la belleza escondida de un barrio tan emblemático como Triana. Puso el broche final perfecto a una semana inolvidable en esa Sevilla maravillosa. De 10.",No especificado,No especificado,No aplica
"Tour por la Catedral, el Alcázar y la Giralda",1775828545-5,Civitatis,25/01/2025,No especificado,No especificado,Viajó con amigos,"Pagamos un Tour de 59€ cada una (eramos 4) que incluía la visita a la catedral de Sevilla, a la Giralda y el Alcazar. No nos dejaron subir a la Giralda por “falta de tiempo”, a pesar de que en la descripción de la excursión se especificaba claramente que iriamos a esos 3 sitios, aunque puede que el orden no fuera el establecido en la APP de civitatis.",No especificado,No especificado,No aplica
"Tour por la Catedral, el Alcázar y la Giralda",1775828572-18,Civitatis,30/05/2025,No especificado,No especificado,Viajó en pareja,"Laura la guía es genial. Aunque el recorrido es largo (nos fuimos a las 4 horas) lo hace muy muy muy ameno. 
Da mucha información y recomendaciones.

Lo único que cambiaría es que empiece una hora antes. Ya que al ser tan largo al final se hace cansado.",No especificado,No especificado,No aplica
Free tour por Sevilla,1775828733-19,Civitatis,23/01/2026,No especificado,No especificado,Viajó en pareja,"Nuestro guía, Samael, ha sido súper divertido, agradable y espontáneo. Ha hablado de cuestiones históricas pero de forma sencilla, ósea que se ha entendido todo con total claridad. En general, nos ha encantado! Un imprescindible para la toma de contacto con esta ciudad",No especificado,No especificado,No aplica
Tour misterios y leyendas de Sevilla,1776039711-13,Civitatis,4/4/2025,No especificado,No especificado,Viajó con amigos,"Estupendo, Daniel muy agradable, gracioso y excelente explicando.",España,Residente,Islas Baleares
Barrio Santa Cruz,1776039090-17,Civitatis,24/06/2025,No especificado,No especificado,Viajó en pareja,"Fué una buena e interesante experiencia!
La recomiendo y también al guía Manuel de los bigotes. 
Muchas gracias",España,Residente,Cataluña
Setas de Sevilla,1775818405-7,Civitatis,27/06/2025,No especificado,No especificado,Viajó en pareja,A pesar del calor fue espectacular,España,Residente,Islas Canarias
Real Alcázar de Sevilla,1776038214-6,Civitatis,25/08/2025,No especificado,No especificado,Viajó con hijos mayores,Explicaciones concisas y muy amenas. Con todo tipo de detalle. Muchas gracias Cristina. Disfrutamos mucho de la visita.,España,Residente,No especificado
